stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,tier,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
238,1449,31,587,64,0.9859278865291813,9111,0.30641217455836184,high,0.08867115737905695,0.11450381679389313,0.05969086841570063,0.05432937181663837,0.9852107871502096,0.5360670457946722
185,785,17,287,46,0.9777242624924745,12011,0.31059484631606676,high,0.04800979791794244,0.061068702290076333,0.029184462070368112,0.03904923599320883,0.9765891154823322,0.7096677641424723
345,2525,12,1122,185,0.986188330977731,7182,0.31229397150016486,high,0.15456215554194733,0.04198473282442748,0.11409395973154363,0.1570458404074703,0.9854845035605508,0.4205926369350494
295,2246,19,804,101,0.9869988721784417,8977,0.31467614658619375,high,0.1374770361298224,0.06870229007633588,0.08175716900549115,0.08573853989813243,0.9863363490467101,0.5280454953606705
275,1420,33,687,78,0.982969492144684,9838,0.31779914467180786,high,0.0868952847519902,0.12213740458015267,0.06985967053081148,0.06621392190152801,0.9821016362513995,0.5795869500149656
300,1028,23,605,56,0.9529750609921388,12158,0.3208275918744025,high,0.06289038579301898,0.08396946564885496,0.06152125279642058,0.04753820033955857,0.9505787219753561,0.7184675246932056
312,1977,23,1257,43,0.9496301386474797,10352,0.32111961139605444,high,0.12100428658909981,0.08396946564885496,0.12782184258694326,0.0365025466893039,0.9470633460779284,0.6103561807841964
315,1161,21,376,56,0.9935756946124544,11866,0.3212299544265886,high,0.07103490508266994,0.07633587786259542,0.038234695952816755,0.04753820033955857,0.9932483190968088,0.7009877282250823
272,2838,23,1705,81,0.972672195247712,8044,0.3238851733006158,high,0.17372933251684017,0.08396946564885496,0.17337807606263983,0.06876061120543293,0.9712796004639105,0.47219395390601615
248,3871,34,1073,7,0.9898790920954799,8210,0.32491488345175246,high,0.23698714023270054,0.12595419847328243,0.10911124669513932,0.005942275042444821,0.9893633417934367,0.48213109847351093
125,960,19,498,118,0.9193698175787728,13012,0.32718165168728436,high,0.05872627066748316,0.06870229007633588,0.05064063453325198,0.100169779286927,0.9152609924289092,0.7695899431307992
289,3225,40,970,70,0.9577904965823931,9118,0.3327447946959603,high,0.19742804654011023,0.14885496183206107,0.09863738051657515,0.059422750424448216,0.9556395468511936,0.5364860820113738
256,1,1,0,0,1.0,16861,0.3333333333333333,high,0.0,0.0,0.0,0.0,1.0,1.0
332,2628,30,1217,212,0.9872025189777637,7586,0.3344340567223902,high,0.1608695652173913,0.11068702290076336,0.12375432174089893,0.1799660441426146,0.9865503734622747,0.44477701287039806
240,2878,21,1072,92,0.9650216562387615,10412,0.3361349731227701,high,0.17617881200244948,0.07633587786259542,0.1090095586739882,0.07809847198641766,0.963239198426674,0.6139479197844957
340,1078,30,514,87,0.9594382621830454,12999,0.3381573174198191,high,0.06595223515003062,0.11068702290076336,0.05226764287166972,0.07385398981324279,0.95737128076914,0.7688117330140677
250,1326,12,1049,34,0.8992671552298468,15000,0.3402311838345177,high,0.08113900796080833,0.04198473282442748,0.10667073418751272,0.028862478777589132,0.8941339205827187,0.8885962286740496
346,1121,138,681,14,0.9711999655862172,7469,0.34668762514456475,high,0.06858542559706063,0.5229007633587787,0.06924954240390482,0.011884550084889643,0.9697323476029404,0.4377731218198144
308,2023,26,1188,34,0.971078459367071,12595,0.34719014831175404,high,0.12382118799755051,0.09541984732824428,0.12080536912751678,0.028862478777589132,0.9696046495609048,0.744627357078719
306,4735,28,1548,162,0.9882693334547517,6995,0.347492257789127,high,0.2898958971218616,0.10305343511450382,0.1574130567419158,0.13752122241086587,0.987671551628165,0.40939838371744985
277,2002,24,780,128,0.964145956243521,12531,0.35023531891302667,high,0.12253521126760564,0.08778625954198473,0.07931665649786455,0.10865874363327674,0.9623188737256951,0.740796168811733
307,1504,19,623,147,0.94559413178387,14915,0.36253508255506217,high,0.09203919167176974,0.06870229007633588,0.06335163717714053,0.12478777589134125,0.9428216687568268,0.883507931756959
318,1606,17,832,95,0.957699482969991,16637,0.37778973298154134,high,0.09828536436007348,0.061068702290076333,0.08460443359772218,0.08064516129032258,0.9555438952855041,0.9865908410655493
257,1971,34,923,33,0.9734439075438215,15827,0.37977594865563336,high,0.12063686466625842,0.12595419847328243,0.09385804352247305,0.02801358234295416,0.9720906383673236,0.9381023645615085
