stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
45,138,9,65,21,0.9530849427448299,995,0.17737984195897913,0.00838946723821188,0.030534351145038167,0.006609721374822046,0.017826825127334467,0.9506942031809494,0.05022448368751871
46,303,27,208,5,0.9378153870041146,1668,0.19471402540700108,0.018493570116350274,0.09923664122137404,0.021151108399430546,0.004244482173174873,0.9346465277241341,0.09051182280754265
47,368,8,34,1,0.7613823900592176,995,0.14215750070979358,0.0224739742804654,0.026717557251908396,0.0034573927191376857,0.0008488964346349745,0.7492226998850963,0.05022448368751871
50,232,16,172,8,0.9094230371544771,3070,0.19582088156158164,0.014145744029393753,0.05725190839694656,0.017490339637990644,0.006791171477079796,0.9048073350468758,0.17443879078120322
51,85,16,42,1,0.9813019390581718,995,0.18301486647106138,0.005143906919779547,0.05725190839694656,0.004270896888346553,0.0008488964346349745,0.9803491064991419,0.05022448368751871
53,287,12,156,6,0.8712565362066234,2327,0.17918537031029438,0.017513778322106554,0.04198473282442748,0.01586333129957291,0.0050933786078098476,0.8646959113136862,0.12996108949416343
54,373,14,188,20,0.9280943811237753,3297,0.20349190721156443,0.022780159216166565,0.04961832061068702,0.019117347976408378,0.01697792869269949,0.9244301501077563,0.18802753666566896
56,155,10,73,19,0.9591910962391794,3753,0.20662836190820602,0.009430496019595835,0.03435114503816794,0.0074232255440309135,0.016129032258064516,0.9571115195214331,0.21532475306794374
58,386,14,196,3,0.9435124354763023,4837,0.21942024965850723,0.02357624004898959,0.04961832061068702,0.019930852145617246,0.0025466893039049238,0.9406338915018264,0.28021550434001796
59,15,2,0,1,0.6788990825688073,156,0.11134319036387998,0.0008573178199632578,0.003816793893129771,0.0,0.0008488964346349745,0.6625361340355519,0.0
60,143,10,79,12,0.8724000000000001,1638,0.16931341769443412,0.008695652173913044,0.03435114503816794,0.008033353670937564,0.010186757215619695,0.8658976447605735,0.088715953307393
61,207,12,100,9,0.9546905247737142,2442,0.19360588033539827,0.012614819350887936,0.04198473282442748,0.01016880211511084,0.007640067911714771,0.952381603898845,0.13684525591140378
62,306,11,63,1,0.9950237762008823,1943,0.19430743583233645,0.018677281077770974,0.03816793893129771,0.006406345332519829,0.0008488964346349745,0.9947701933255473,0.10697395989224782
63,315,9,86,14,0.8102471992206527,5751,0.20098329210092902,0.019228413962033068,0.030534351145038167,0.008745169818995322,0.011884550084889643,0.8005776058167071,0.3349296617779108
64,261,22,141,17,0.9167337940390894,3708,0.20832752127309173,0.015921616656460504,0.08015267175572519,0.014338010982306285,0.014431239388794566,0.9124906400375448,0.21263094881771924
65,132,37,26,4,0.8741742203103395,1279,0.18107562645991593,0.008022045315370483,0.13740458015267176,0.0026438885499288182,0.003395585738539898,0.8677622773807158,0.06722538162226878
66,27,8,15,3,0.9945016495051484,995,0.17947127864260368,0.0015921616656460501,0.026717557251908396,0.001525320317266626,0.0025466893039049238,0.9942214596293772,0.05022448368751871
67,30,7,18,1,0.9031055900621118,995,0.16262472638473777,0.0017758726270667483,0.022900763358778626,0.0018303843807199512,0.0008488964346349745,0.8981679578197076,0.05022448368751871
68,133,8,32,2,0.6508264462809917,1895,0.12948102749384505,0.008083282302510717,0.026717557251908396,0.003254016676835469,0.001697792869269949,0.6330329471705374,0.10410056869200839
69,119,11,46,2,0.8213304470901673,2414,0.1665273500119916,0.007225964482547458,0.03816793893129771,0.004677648972950987,0.001697792869269949,0.812225643771286,0.13516911104459742
71,140,16,54,5,0.9638617672081999,995,0.1812906952238211,0.008511941212492345,0.05725190839694656,0.005491153142159854,0.004244482173174873,0.9620202027306343,0.05022448368751871
72,175,19,71,3,0.994844748019497,995,0.1889884317329034,0.01065523576240049,0.06870229007633588,0.007219849501728696,0.0025466893039049238,0.9945820420655316,0.05022448368751871
73,1,1,0,0,1.0,995,0.1750374139479198,0.0,0.0,0.0,0.0,1.0,0.05022448368751871
75,31,7,22,1,0.7258469259723965,1677,0.138458479546585,0.001837109614206981,0.022900763358778626,0.0022371364653243847,0.0008488964346349745,0.7118763877489774,0.09105058365758754
76,130,13,82,1,0.9965483915504625,995,0.1849142328844451,0.007899571341090018,0.04580152671755725,0.008338417734390889,0.0008488964346349745,0.9963725013914789,0.05022448368751871
77,213,8,77,9,0.9439661657277545,4946,0.21383684737826356,0.012982241273729333,0.026717557251908396,0.007829977628635347,0.007640067911714771,0.941110743346365,0.28674049685722836
79,130,13,82,1,0.9965507726269316,995,0.18491464995336168,0.007899571341090018,0.04580152671755725,0.008338417734390889,0.0008488964346349745,0.9963750038049782,0.05022448368751871
80,245,16,87,21,0.9806257968017507,3943,0.2175340863735692,0.014941824862216778,0.05725190839694656,0.008846857840146431,0.017826825127334467,0.9796385087792127,0.22669859323555822
81,237,10,81,16,0.8743484441636392,2119,0.17601287563108461,0.014451928965094916,0.03435114503816794,0.00823672971323978,0.013582342954159592,0.8679453794893864,0.11750972762645914
82,356,11,169,20,0.9312502136679088,2424,0.19293080137360785,0.021739130434782608,0.03816793893129771,0.01718527557453732,0.01697792869269949,0.927746800397016,0.13576773421131397
83,81,8,46,8,0.9419492277649565,995,0.17205014080177047,0.004898958971218616,0.026717557251908396,0.004677648972950987,0.006791171477079796,0.9389910244499463,0.05022448368751871
